Hap Index 	Expression Value 	Expression Level 	Prediction 
0 	 9.272152 	 1 	 Level 1 
1 	 0.894021 	 0 	 Level 0 
2 	 21.842358 	 3 	 Level 3 
3 	 12.623047 	 2 	 Level 1 
4 	 17.381927 	 2 	 Level 3 
5 	 15.907026 	 2 	 Level 2 
6 	 25.278792 	 4 	 Level 3 
7 	 2.347579 	 0 	 Level 0 
8 	 0.702696 	 0 	 Level 0 
9 	 21.931450 	 3 	 Level 2 
10 	 19.668240 	 3 	 Level 2 
11 	 9.315493 	 1 	 Level 0 
12 	 8.050610 	 1 	 Level 0 
13 	 27.276795 	 4 	 Level 4 
14 	 8.884794 	 1 	 Level 0 
15 	 15.892159 	 2 	 Level 3 
16 	 14.822272 	 2 	 Level 1 
17 	 26.539698 	 4 	 Level 3 
18 	 18.685884 	 3 	 Level 3 
19 	 24.205946 	 4 	 Level 3 
20 	 12.207008 	 1 	 Level 2 
21 	 5.383636 	 0 	 Level 1 
22 	 28.272951 	 4 	 Level 3 
23 	 8.134032 	 1 	 Level 1 
24 	 7.876407 	 1 	 Level 1 
25 	 15.689776 	 2 	 Level 2 
26 	 6.423513 	 0 	 Level 1 
27 	 21.454341 	 3 	 Level 3 
28 	 19.483270 	 3 	 Level 2 
29 	 18.027561 	 2 	 Level 2 
30 	 6.311772 	 0 	 Level 0 
31 	 9.115344 	 1 	 Level 1 
32 	 20.708342 	 3 	 Level 3 
33 	 5.796074 	 0 	 Level 1 
34 	 9.283711 	 1 	 Level 0 
35 	 24.596527 	 4 	 Level 2 
36 	 2.187371 	 0 	 Level 0 
37 	 6.611643 	 1 	 Level 0 
38 	 1.875010 	 0 	 Level 0 
39 	 10.425659 	 1 	 Level 2 
40 	 3.917150 	 0 	 Level 0 
41 	 13.277128 	 2 	 Level 2 
42 	 6.372831 	 0 	 Level 0 
43 	 21.669224 	 3 	 Level 3 
44 	 25.162667 	 4 	 Level 4 
45 	 24.138597 	 4 	 Level 4 
46 	 27.970069 	 4 	 Level 3 
47 	 7.994434 	 1 	 Level 1 
48 	 10.637867 	 1 	 Level 1 
49 	 10.363195 	 1 	 Level 2 
50 	 19.583066 	 3 	 Level 3 
51 	 12.958651 	 2 	 Level 2 
52 	 8.316812 	 1 	 Level 1 
53 	 16.264659 	 2 	 Level 2 
54 	 16.316414 	 2 	 Level 3 
55 	 19.881568 	 3 	 Level 2 
56 	 29.232960 	 4 	 Level 3 
57 	 14.234778 	 2 	 Level 1 
58 	 23.760577 	 3 	 Level 4 
59 	 14.193037 	 2 	 Level 1 
60 	 8.147017 	 1 	 Level 1 
61 	 23.121795 	 3 	 Level 4 
62 	 10.031137 	 1 	 Level 1 
63 	 26.058884 	 4 	 Level 3 
64 	 2.226969 	 0 	 Level 0 
65 	 8.639956 	 1 	 Level 1 
66 	 16.369794 	 2 	 Level 2 
67 	 20.235427 	 3 	 Level 3 
68 	 25.455504 	 4 	 Level 4 
69 	 8.725248 	 1 	 Level 0 
70 	 22.671154 	 3 	 Level 3 
71 	 16.812651 	 2 	 Level 3 
72 	 1.520858 	 0 	 Level 0 
73 	 7.779805 	 1 	 Level 0 
74 	 0.770440 	 0 	 Level 0 
75 	 23.002725 	 3 	 Level 3 
76 	 8.593551 	 1 	 Level 0 
77 	 23.303506 	 3 	 Level 4 
78 	 20.425342 	 3 	 Level 3 
79 	 3.938806 	 0 	 Level 1 
80 	 15.095396 	 2 	 Level 2 
81 	 23.552418 	 3 	 Level 3 
82 	 9.911615 	 1 	 Level 1 
83 	 22.837324 	 3 	 Level 3 
84 	 11.288138 	 1 	 Level 0 
85 	 16.994994 	 2 	 Level 3 
86 	 12.500236 	 2 	 Level 1 
87 	 11.621811 	 1 	 Level 2 
88 	 18.556807 	 3 	 Level 3 
89 	 15.045196 	 2 	 Level 3 
90 	 4.466715 	 0 	 Level 0 
91 	 15.516784 	 2 	 Level 3 
92 	 22.538936 	 3 	 Level 3 
93 	 14.343870 	 2 	 Level 1 
94 	 17.597318 	 2 	 Level 3 
95 	 6.326249 	 0 	 Level 1 
96 	 15.557771 	 2 	 Level 2 
97 	 15.051367 	 2 	 Level 2 
98 	 6.606308 	 1 	 Level 0 
99 	 21.547486 	 3 	 Level 3 
100 	 23.143197 	 3 	 Level 3 
101 	 1.990638 	 0 	 Level 1 
102 	 27.407551 	 4 	 Level 4 
103 	 14.318275 	 2 	 Level 2 
104 	 1.631645 	 0 	 Level 0 
105 	 22.329464 	 3 	 Level 3 
106 	 16.147966 	 2 	 Level 2 
107 	 8.444995 	 1 	 Level 0 
108 	 4.533969 	 0 	 Level 0 
109 	 10.154657 	 1 	 Level 1 
110 	 22.668659 	 3 	 Level 3 
111 	 20.092583 	 3 	 Level 3 
112 	 18.009123 	 2 	 Level 2 
113 	 8.398199 	 1 	 Level 1 
114 	 29.956945 	 4 	 Level 4 
115 	 5.673119 	 0 	 Level 0 
116 	 17.208470 	 2 	 Level 3 
117 	 3.949260 	 0 	 Level 0 
118 	 14.429981 	 2 	 Level 2 
119 	 24.696176 	 4 	 Level 3 
120 	 18.705624 	 3 	 Level 3 
121 	 3.059072 	 0 	 Level 0 
122 	 22.666570 	 3 	 Level 3 
123 	 6.022199 	 0 	 Level 1 
124 	 26.583817 	 4 	 Level 3 
125 	 25.890361 	 4 	 Level 4 
126 	 18.441980 	 3 	 Level 3 
127 	 9.363489 	 1 	 Level 0 
128 	 29.110359 	 4 	 Level 3 
129 	 14.612829 	 2 	 Level 2 
130 	 9.075889 	 1 	 Level 0 
131 	 5.718533 	 0 	 Level 0 
132 	 6.643733 	 1 	 Level 1 
133 	 21.709012 	 3 	 Level 3 
134 	 28.572705 	 4 	 Level 3 
135 	 6.342715 	 0 	 Level 0 
136 	 21.665566 	 3 	 Level 3 
137 	 22.928295 	 3 	 Level 3 
138 	 22.978055 	 3 	 Level 3 
139 	 26.921839 	 4 	 Level 3 
140 	 14.374966 	 2 	 Level 1 
141 	 10.710067 	 1 	 Level 0 
142 	 6.787655 	 1 	 Level 0 
143 	 19.958263 	 3 	 Level 2 
144 	 11.541766 	 1 	 Level 1 
145 	 23.926670 	 3 	 Level 3 
146 	 16.765729 	 2 	 Level 3 
147 	 23.272167 	 3 	 Level 3 
148 	 5.801148 	 0 	 Level 1 
149 	 6.252254 	 0 	 Level 1 
